start_time=2020/03/07 01:25:40, frame_rate=30.0, frame_period=0.03333333333333333, n_frames=2750, n_seconds=91.66666666666667, total_time=01:31.66
frame_index, time, color_counter
1128, 00:37.60, 11369
1129, 00:37.63, 11759
1130, 00:37.66, 11792
1131, 00:37.70, 11486
1132, 00:37.73, 10343
1133, 00:37.76, 9698
1134, 00:37.79, 10155
1135, 00:37.83, 10714
1136, 00:37.86, 11281
1137, 00:37.89, 11367
1138, 00:37.93, 10840
1139, 00:37.96, 11565
1140, 00:38.00, 11818
1141, 00:38.03, 12392
1142, 00:38.06, 12569
1143, 00:38.10, 13182
1144, 00:38.13, 12201
1145, 00:38.16, 11339
1146, 00:38.20, 10624
1147, 00:38.23, 10201
1148, 00:38.26, 8780
1149, 00:38.29, 1181
1151, 00:38.36, 2699
1152, 00:38.39, 8258
1153, 00:38.43, 7953
1154, 00:38.46, 6931
1155, 00:38.50, 7249
1156, 00:38.53, 7354
1157, 00:38.56, 1813
1158, 00:38.60, 3830
1160, 00:38.66, 8176
1161, 00:38.70, 3516
1162, 00:38.73, 6790
1163, 00:38.76, 6441
1164, 00:38.79, 5868
1165, 00:38.83, 15
1166, 00:38.86, 6561
1167, 00:38.89, 3729
1168, 00:38.93, 842
1169, 00:38.96, 2597
1170, 00:39.00, 511
1171, 00:39.03, 1435
1172, 00:39.06, 7797
1173, 00:39.10, 10382
1174, 00:39.13, 10679
1175, 00:39.16, 10433
1176, 00:39.20, 9134
1177, 00:39.23, 10479
1178, 00:39.26, 10857
1179, 00:39.29, 10644
1180, 00:39.33, 10792
1181, 00:39.36, 10699
1182, 00:39.39, 10118
1183, 00:39.43, 8569
1184, 00:39.46, 3315
1185, 00:39.50, 3804
1186, 00:39.53, 1459
1187, 00:39.56, 6178
1189, 00:39.63, 491
1190, 00:39.66, 816
1191, 00:39.70, 3138
1192, 00:39.73, 9038
1193, 00:39.76, 10008
1194, 00:39.79, 10586
1195, 00:39.83, 10538
1196, 00:39.86, 10504
1197, 00:39.89, 10721
1198, 00:39.93, 11162
1199, 00:39.96, 11282
1200, 00:40.00, 10979
1201, 00:40.03, 10749
1202, 00:40.06, 7989
1203, 00:40.10, 2753
1204, 00:40.13, 4839
1205, 00:40.16, 9724
1206, 00:40.20, 11141
1207, 00:40.23, 10870
1208, 00:40.26, 10561
1209, 00:40.29, 10466
1210, 00:40.33, 8435
1211, 00:40.36, 10853
1212, 00:40.39, 9988
1213, 00:40.43, 10108
1214, 00:40.46, 10826
1215, 00:40.50, 10679
1216, 00:40.53, 10402
1217, 00:40.56, 11137
1218, 00:40.60, 11091
1219, 00:40.63, 10981
1220, 00:40.66, 10827
1221, 00:40.70, 10775
1222, 00:40.73, 10579
1223, 00:40.76, 10404
1224, 00:40.79, 10386
1225, 00:40.83, 10052
1226, 00:40.86, 9950
1227, 00:40.89, 9925
1228, 00:40.93, 9978
1229, 00:40.96, 9320
1230, 00:41.00, 9585
1231, 00:41.03, 9725
1232, 00:41.06, 9541
1233, 00:41.10, 9663
1234, 00:41.13, 9522
1235, 00:41.16, 9200
1236, 00:41.20, 7815
1237, 00:41.23, 2669
1238, 00:41.26, 1581
1239, 00:41.29, 1667
1240, 00:41.33, 526
1241, 00:41.36, 3635
1242, 00:41.39, 527
1243, 00:41.43, 4621
1244, 00:41.46, 7157
1245, 00:41.50, 8405
1246, 00:41.53, 9443
1247, 00:41.56, 9745
1248, 00:41.60, 9867
1249, 00:41.63, 9812
1250, 00:41.66, 9886
1251, 00:41.70, 9888
1252, 00:41.73, 9770
1253, 00:41.76, 9407
1254, 00:41.79, 9466
1255, 00:41.83, 9517
1256, 00:41.86, 9545
1257, 00:41.89, 9704
1258, 00:41.93, 9559
1259, 00:41.96, 9167
1260, 00:42.00, 9454
1261, 00:42.03, 9317
1262, 00:42.06, 9610
1263, 00:42.10, 9200
1264, 00:42.13, 8906
1265, 00:42.16, 9599
1266, 00:42.20, 9841
1267, 00:42.23, 9784
1268, 00:42.26, 10210
1269, 00:42.29, 10171
1270, 00:42.33, 10409
1271, 00:42.36, 10464
1272, 00:42.39, 10293
1273, 00:42.43, 10083
1274, 00:42.46, 10072
1275, 00:42.50, 9991
1276, 00:42.53, 10189
1277, 00:42.56, 9913
1278, 00:42.60, 9808
1279, 00:42.63, 9985
1280, 00:42.66, 9947
1281, 00:42.70, 9809
1282, 00:42.73, 9770
1283, 00:42.76, 8629
1284, 00:42.79, 8709
1285, 00:42.83, 8924
1286, 00:42.86, 9249
1287, 00:42.89, 8709
1288, 00:42.93, 9183
1289, 00:42.96, 8862
1290, 00:43.00, 8189
1291, 00:43.03, 7968
1292, 00:43.06, 2329
1293, 00:43.10, 2992
1294, 00:43.13, 4685
1295, 00:43.16, 3243
1296, 00:43.20, 2060
1297, 00:43.23, 1221
1298, 00:43.26, 199
1304, 00:43.46, 63
1305, 00:43.50, 132
1306, 00:43.53, 199
1307, 00:43.56, 444
1308, 00:43.60, 1503
1309, 00:43.63, 67
1312, 00:43.73, 2758
1313, 00:43.76, 3823
1314, 00:43.79, 820
1315, 00:43.83, 414
1317, 00:43.89, 1
1319, 00:43.96, 229
1320, 00:44.00, 13
1326, 00:44.20, 36
1327, 00:44.23, 162
1328, 00:44.26, 525
1329, 00:44.29, 1590
1330, 00:44.33, 6769
1331, 00:44.36, 8868
1332, 00:44.39, 8063
1333, 00:44.43, 9379
1334, 00:44.46, 9237
1335, 00:44.50, 9171
1336, 00:44.53, 8656
1337, 00:44.56, 9735
1338, 00:44.60, 9872
1344, 00:44.79, 9492
1345, 00:44.83, 9883
1346, 00:44.86, 10564
1347, 00:44.89, 11313
1348, 00:44.93, 10929
1349, 00:44.96, 10198
1350, 00:45.00, 54
1351, 00:45.03, 174
1352, 00:45.06, 1539
1353, 00:45.10, 7205
1354, 00:45.13, 3386
1356, 00:45.20, 443
1357, 00:45.23, 12727
1358, 00:45.26, 12588
1359, 00:45.29, 13096
1360, 00:45.33, 13000
1361, 00:45.36, 12984
1362, 00:45.39, 11711
1363, 00:45.43, 12470
1364, 00:45.46, 12582
1365, 00:45.50, 11399
1366, 00:45.53, 5978
1367, 00:45.56, 9330
1368, 00:45.60, 4170
1369, 00:45.63, 7334
1370, 00:45.66, 10587
1371, 00:45.70, 10134
1372, 00:45.73, 7305
1373, 00:45.76, 6380
1374, 00:45.79, 10613
1375, 00:45.83, 11098
1376, 00:45.86, 11151
1377, 00:45.89, 11240
1378, 00:45.93, 11152
1379, 00:45.96, 11444
1380, 00:46.00, 11604
1381, 00:46.03, 11262
1382, 00:46.06, 10959
1383, 00:46.10, 9317
1384, 00:46.13, 7166
1385, 00:46.16, 4278
1386, 00:46.20, 4035
1387, 00:46.23, 5334
1388, 00:46.26, 4609
1389, 00:46.29, 4153
1390, 00:46.33, 3568
1391, 00:46.36, 5453
1392, 00:46.39, 4146
1393, 00:46.43, 4022
1394, 00:46.46, 4057
1395, 00:46.50, 5609
1396, 00:46.53, 11234
1397, 00:46.56, 11463
1398, 00:46.60, 10785
1399, 00:46.63, 11662
1400, 00:46.66, 11893
1401, 00:46.70, 11515
1402, 00:46.73, 11733
1403, 00:46.76, 8877
1404, 00:46.79, 6917
1405, 00:46.83, 10966
1406, 00:46.86, 10172
1407, 00:46.89, 11182
1408, 00:46.93, 10908
1409, 00:46.96, 10705
1410, 00:47.00, 9243
1411, 00:47.03, 9979
1412, 00:47.06, 9609
1413, 00:47.10, 11102
1414, 00:47.13, 11621
1415, 00:47.16, 12000
1416, 00:47.20, 10806
1417, 00:47.23, 8359
1418, 00:47.26, 9760
1419, 00:47.29, 8241
1420, 00:47.33, 9898
1421, 00:47.36, 10394
1422, 00:47.39, 9463
1423, 00:47.43, 10276
1424, 00:47.46, 10641
1425, 00:47.50, 11679
1426, 00:47.53, 10988
1427, 00:47.56, 11650
1428, 00:47.60, 11507
1429, 00:47.63, 11500
1430, 00:47.66, 11606
1431, 00:47.70, 11196
1432, 00:47.73, 10746
1433, 00:47.76, 6049
1434, 00:47.79, 1583
1435, 00:47.83, 1764
1436, 00:47.86, 9599
1437, 00:47.89, 10822
1438, 00:47.93, 11170
1439, 00:47.96, 11393
1440, 00:48.00, 11472
1441, 00:48.03, 11556
1442, 00:48.06, 7250
1443, 00:48.10, 2072
1444, 00:48.13, 108
1445, 00:48.16, 1294
1446, 00:48.20, 7033
1447, 00:48.23, 8229
1448, 00:48.26, 4776
1449, 00:48.29, 4730
1450, 00:48.33, 5024
1451, 00:48.36, 3226
1452, 00:48.39, 5877
1453, 00:48.43, 7690
1454, 00:48.46, 10198
1455, 00:48.50, 6679
1456, 00:48.53, 5907
1457, 00:48.56, 3422
1458, 00:48.60, 3494
1459, 00:48.63, 9323
1460, 00:48.66, 2987
1461, 00:48.70, 9011
1462, 00:48.73, 10467
1463, 00:48.76, 9944
1464, 00:48.79, 9689
1465, 00:48.83, 10705
1466, 00:48.86, 10832
1467, 00:48.89, 10727
1468, 00:48.93, 10482
1469, 00:48.96, 11520
1470, 00:49.00, 11347
1471, 00:49.03, 11122
1472, 00:49.06, 10881
1473, 00:49.10, 10153
1474, 00:49.13, 10530
1475, 00:49.16, 11438
1476, 00:49.20, 10613
1477, 00:49.23, 5204
1478, 00:49.26, 11176
1479, 00:49.29, 9841
1480, 00:49.33, 7873
1481, 00:49.36, 8613
1482, 00:49.39, 7518
1483, 00:49.43, 7917
1484, 00:49.46, 7745
1485, 00:49.50, 7267
1486, 00:49.53, 8239
1487, 00:49.56, 8888
1488, 00:49.60, 9116
1489, 00:49.63, 8745
1490, 00:49.66, 8472
1491, 00:49.70, 8913
1492, 00:49.73, 8404
1493, 00:49.76, 9480
1494, 00:49.79, 9033
1495, 00:49.83, 9726
1496, 00:49.86, 9908
1497, 00:49.89, 9539
1498, 00:49.93, 10166
1499, 00:49.96, 10171
1500, 00:50.00, 10489
1501, 00:50.03, 11600
1502, 00:50.06, 11042
1503, 00:50.10, 11496
1504, 00:50.13, 11528
1505, 00:50.16, 12425
1506, 00:50.20, 11834
1507, 00:50.23, 11532
1508, 00:50.26, 10405
1509, 00:50.29, 11867
1510, 00:50.33, 11160
1511, 00:50.36, 10814
1512, 00:50.39, 11422
1513, 00:50.43, 12122
1514, 00:50.46, 12560
1515, 00:50.50, 12779
1516, 00:50.53, 11762
1517, 00:50.56, 10641
1518, 00:50.60, 9702
1519, 00:50.63, 9518
1520, 00:50.66, 9616
1521, 00:50.70, 8978
1522, 00:50.73, 8858
1523, 00:50.76, 5402
1524, 00:50.79, 2318
1525, 00:50.83, 39
1526, 00:50.86, 22
1528, 00:50.93, 409
1529, 00:50.96, 798
1530, 00:51.00, 4664
1531, 00:51.03, 10101
1532, 00:51.06, 4216
1533, 00:51.10, 2078
1618, 00:53.93, 35
1620, 00:54.00, 3129
1621, 00:54.03, 199
1637, 00:54.56, 1728
1639, 00:54.63, 472
1640, 00:54.66, 59
1641, 00:54.69, 4402
1642, 00:54.73, 8484
1643, 00:54.76, 10360
1644, 00:54.79, 6955
1645, 00:54.83, 9646
1646, 00:54.86, 9082
1647, 00:54.89, 9766
1648, 00:54.93, 6067
1649, 00:54.96, 7092
1650, 00:55.00, 11788
1651, 00:55.03, 13268
1652, 00:55.06, 11646
1653, 00:55.10, 10980
1654, 00:55.13, 11165
1655, 00:55.16, 4083
1656, 00:55.19, 3192
1660, 00:55.33, 1521
1727, 00:57.56, 862
1728, 00:57.60, 657
1729, 00:57.63, 8396
1730, 00:57.66, 5952
1739, 00:57.96, 119
1740, 00:58.00, 1480
1741, 00:58.03, 7390
1742, 00:58.06, 7779
1743, 00:58.10, 8611
1744, 00:58.13, 9005
1745, 00:58.16, 7888
1746, 00:58.19, 5555
1747, 00:58.23, 8943
1748, 00:58.26, 7910
1749, 00:58.29, 7417
1750, 00:58.33, 8426
1751, 00:58.36, 5441
1752, 00:58.39, 1643
1753, 00:58.43, 5835
1754, 00:58.46, 3154
1755, 00:58.50, 3885
1756, 00:58.53, 7652
1757, 00:58.56, 5381
1758, 00:58.60, 7555
1762, 00:58.73, 5408
1763, 00:58.76, 2154
1764, 00:58.79, 3687
1765, 00:58.83, 10951
1766, 00:58.86, 11128
1767, 00:58.89, 10399
1768, 00:58.93, 10141
1769, 00:58.96, 11286
1770, 00:59.00, 11565
1771, 00:59.03, 9233
1772, 00:59.06, 3870
1776, 00:59.19, 130
1777, 00:59.23, 127
1781, 00:59.36, 95
1783, 00:59.43, 582
1796, 00:59.86, 3755
1797, 00:59.89, 4232
1798, 00:59.93, 9724
1800, 01:00.00, 12355
1801, 01:00.03, 9479
1802, 01:00.06, 6848
1803, 01:00.10, 5065
1804, 01:00.13, 9777
1807, 01:00.23, 955
1808, 01:00.26, 5512
1809, 01:00.29, 241
1811, 01:00.36, 12787
1812, 01:00.39, 1336
1813, 01:00.43, 9223
1818, 01:00.60, 125
1830, 01:01.00, 2
1831, 01:01.03, 2340
1832, 01:01.06, 2922
1833, 01:01.10, 1594
1834, 01:01.13, 5637
1925, 01:04.16, 1
2749, 01:31.63, 0
