start_time=2020/03/07 01:25:40, frame_rate=30.0, frame_period=0.03333333333333333, n_frames=2750, n_seconds=91.66666666666667, total_time=01:31.66
frame_index, time, color_counter
0, 00:00.00, 0
1011, 00:33.70, 1655
1031, 00:34.36, 14
1050, 00:35.00, 4390
1051, 00:35.03, 7969
1052, 00:35.06, 8177
1053, 00:35.10, 7087
1054, 00:35.13, 6764
1055, 00:35.16, 6786
1056, 00:35.20, 6711
1057, 00:35.23, 5628
1058, 00:35.26, 8294
1059, 00:35.29, 8735
1060, 00:35.33, 8371
1061, 00:35.36, 5294
1062, 00:35.39, 5786
1063, 00:35.43, 5732
1064, 00:35.46, 598
1065, 00:35.50, 2030
1066, 00:35.53, 4112
1067, 00:35.56, 8405
1068, 00:35.60, 7378
1069, 00:35.63, 11837
1070, 00:35.66, 12263
1071, 00:35.70, 11368
1072, 00:35.73, 8981
1073, 00:35.76, 2107
1075, 00:35.83, 6
1084, 00:36.13, 5787
1085, 00:36.16, 11280
1086, 00:36.20, 14198
1087, 00:36.23, 15633
1088, 00:36.26, 16035
1089, 00:36.29, 14904
1090, 00:36.33, 13525
1091, 00:36.36, 13059
1092, 00:36.39, 11822
1093, 00:36.43, 10990
1094, 00:36.46, 11621
1095, 00:36.50, 11764
1096, 00:36.53, 12016
1097, 00:36.56, 11258
1098, 00:36.60, 11639
1099, 00:36.63, 11124
1100, 00:36.66, 10606
1101, 00:36.70, 12198
1102, 00:36.73, 12198
1103, 00:36.76, 12286
1104, 00:36.79, 11395
1105, 00:36.83, 10936
1106, 00:36.86, 4958
1107, 00:36.89, 11017
1108, 00:36.93, 10897
1109, 00:36.96, 10053
1110, 00:37.00, 9963
1111, 00:37.03, 5594
1112, 00:37.06, 609
1113, 00:37.10, 783
1115, 00:37.16, 311
1116, 00:37.20, 7786
1117, 00:37.23, 7590
1118, 00:37.26, 11557
1119, 00:37.29, 9406
1120, 00:37.33, 10941
1121, 00:37.36, 10972
1122, 00:37.39, 11729
1123, 00:37.43, 11225
1124, 00:37.46, 10293
1125, 00:37.50, 10810
1126, 00:37.53, 11074
1127, 00:37.56, 11254
